county_name,fdr_result
Santa Clara,11
Santa Clara,11
Santa Clara,12
Santa Clara,12.6
Santa Clara,12.8
Santa Clara,12.2
Santa Clara,11
Santa Clara,9.7
Santa Clara,9.8
Santa Clara,9.8
Santa Clara,8.7
Santa Clara,9.3
Santa Clara,8.6
Santa Clara,10.1
Santa Clara,10.1
Santa Clara,9.9
Santa Clara,9
Santa Clara,8.9
Santa Clara,9.4
Santa Clara,12.5
Santa Clara,11.4
Santa Clara,11.2
Santa Clara,12.5
Santa Clara,10.1
Santa Clara,10.7
Santa Clara,10.4
Santa Clara,9.6
Santa Clara,8.2
Santa Clara,8.4
Santa Clara,11.6
Santa Clara,9.7
Santa Clara,10.1
Santa Clara,12.2
Santa Clara,13.4
Santa Clara,11
Santa Clara,11
Santa Clara,11
Santa Clara,10.5
Santa Clara,9.5
Santa Clara,9
